Barangay,Motivation for choosing businesses,Shopping traits,Factors for new business,Shopping style,Values
Banlic,Quality,Practical,Recommendation,Research-Driven,Sustainability
Banlic,Convenience,Practical,Promotions,Impulsive,Affordability
Banlic,Convenience,Adventurous,Promotions,Research-Driven,Affordability
Banlic,Quality,Practical,Curiosity,Research-Driven,Affordability
Bigaa,Variety of Products/Services,Trend-Follower,Curiosity,Research-Driven,High Standard and Consistency
Bigaa,Variety of Products/Services,Practical,Curiosity,Impulsive,Sustainability
Bigaa,Customer Service,Spontaneous,Advertisement,Impulsive,Sustainability
Bigaa,Customer Service,Trend-Follower,Reputation,Planned,High Standard and Consistency
Bigaa,Variety of Products/Services,Detail-Oriented,Advertisement,Impulsive,Affordability
Bigaa,Customer Service,Detail-Oriented,Advertisement,Research-Driven,Affordability
Bigaa,Convenience,Trend-Follower,Reputation,Planned,Sustainability
Bigaa,Convenience,Detail-Oriented,Reputation,Planned,Community Support
Bigaa,Convenience,Spontaneous,Reputation,Impulsive,Sustainability
Bigaa,Convenience,Detail-Oriented,Advertisement,Research-Driven,Affordability
Bigaa,Price,Adventurous,Curiosity,Impulsive,High Standard and Consistency
Bigaa,Variety of Products/Services,Practical,Advertisement,Research-Driven,Sustainability
Bigaa,Customer Service,Practical,Recommendation,Impulsive,Affordability
Bigaa,Convenience,Practical,Recommendation,Planned,High Standard and Consistency
Bigaa,Variety of Products/Services,Adventurous,Recommendation,Planned,Trustworthiness
Bigaa,Variety of Products/Services,Practical,Curiosity,Research-Driven,Trustworthiness
Bigaa,Price,Loyal,Recommendation,Planned,Affordability
Bigaa,Customer Service,Loyal,Recommendation,Research-Driven,Trustworthiness
Bigaa,Customer Service,Practical,Advertisement,Planned,Affordability
Bigaa,Customer Service,Practical,Recommendation,Research-Driven,Trustworthiness
Butong,Customer Service,Trend-Follower,Reputation,Research-Driven,Affordability
Butong,Variety of Products/Services,Practical,Reputation,Planned,Affordability
Butong,Variety of Products/Services,Trend-Follower,Reputation,Research-Driven,Affordability
Butong,Convenience,Spontaneous,Advertisement,Impulsive,Sustainability
Butong,Variety of Products/Services,Practical,Reputation,Research-Driven,Community Support
Butong,Variety of Products/Services,Practical,Curiosity,Planned,Community Support
Butong,Convenience,Spontaneous,Reputation,Research-Driven,Affordability
Butong,Price,Practical,Advertisement,Impulsive,Affordability
Butong,Variety of Products/Services,Practical,Reputation,Research-Driven,Sustainability
Butong,Customer Service,Trend-Follower,Reputation,Impulsive,High Standard and Consistency
Butong,Customer Service,Detail-Oriented,Recommendation,Impulsive,Affordability
Butong,Convenience,Adventurous,Promotions,Research-Driven,Trustworthiness
Butong,Customer Service,Trend-Follower,Advertisement,Research-Driven,Community Support
Butong,Convenience,Detail-Oriented,Advertisement,Planned,Sustainability
Butong,Quality,Spontaneous,Recommendation,Impulsive,Sustainability
Butong,Price,Adventurous,Recommendation,Planned,High Standard and Consistency
Butong,Customer Service,Loyal,Advertisement,Impulsive,Sustainability
Butong,Quality,Detail-Oriented,Curiosity,Research-Driven,Sustainability
Butong,Customer Service,Loyal,Curiosity,Research-Driven,High Standard and Consistency
Butong,Price,Loyal,Reputation,Impulsive,Trustworthiness
Casile,Customer Service,Spontaneous,Reputation,Research-Driven,Community Support
Casile,Customer Service,Detail-Oriented,Advertisement,Research-Driven,Community Support
Casile,Customer Service,Detail-Oriented,Curiosity,Impulsive,High Standard and Consistency
Casile,Customer Service,Spontaneous,Reputation,Impulsive,Affordability
Casile,Variety of Products/Services,Practical,Advertisement,Research-Driven,High Standard and Consistency
Casile,Convenience,Practical,Curiosity,Impulsive,Affordability
Casile,Convenience,Detail-Oriented,Reputation,Impulsive,Community Support
Casile,Price,Trend-Follower,Curiosity,Research-Driven,Sustainability
Casile,Variety of Products/Services,Detail-Oriented,Reputation,Impulsive,High Standard and Consistency
Casile,Convenience,Practical,Advertisement,Planned,High Standard and Consistency
Casile,Customer Service,Practical,Promotions,Research-Driven,Sustainability
Casile,Convenience,Adventurous,Curiosity,Research-Driven,Sustainability
Casile,Quality,Detail-Oriented,Promotions,Impulsive,Sustainability
Casile,Price,Spontaneous,Advertisement,Planned,Community Support
Casile,Price,Spontaneous,Recommendation,Research-Driven,Sustainability
Casile,Convenience,Trend-Follower,Recommendation,Research-Driven,Affordability
Casile,Price,Trend-Follower,Advertisement,Impulsive,Affordability
Casile,Customer Service,Loyal,Curiosity,Planned,Affordability
Casile,Convenience,Trend-Follower,Reputation,Research-Driven,Community Support
Casile,Quality,Practical,Reputation,Impulsive,Trustworthiness
Diezmo,Price,Detail-Oriented,Reputation,Research-Driven,Affordability
Diezmo,Convenience,Spontaneous,Curiosity,Research-Driven,Affordability
Diezmo,Variety of Products/Services,Practical,Reputation,Research-Driven,Sustainability
Diezmo,Variety of Products/Services,Practical,Advertisement,Planned,Community Support
Diezmo,Variety of Products/Services,Spontaneous,Advertisement,Impulsive,Community Support
Diezmo,Variety of Products/Services,Trend-Follower,Advertisement,Planned,Affordability
Diezmo,Convenience,Spontaneous,Reputation,Research-Driven,Affordability
Diezmo,Customer Service,Detail-Oriented,Curiosity,Planned,Sustainability
Diezmo,Variety of Products/Services,Detail-Oriented,Advertisement,Planned,High Standard and Consistency
Diezmo,Convenience,Spontaneous,Reputation,Planned,Sustainability
Diezmo,Quality,Adventurous,Reputation,Impulsive,Affordability
Diezmo,Customer Service,Practical,Curiosity,Impulsive,Community Support
Diezmo,Price,Detail-Oriented,Reputation,Impulsive,Community Support
Diezmo,Customer Service,Spontaneous,Advertisement,Research-Driven,Sustainability
Diezmo,Price,Detail-Oriented,Reputation,Planned,Trustworthiness
Diezmo,Quality,Trend-Follower,Promotions,Planned,High Standard and Consistency
Diezmo,Customer Service,Adventurous,Reputation,Impulsive,Trustworthiness
Diezmo,Customer Service,Spontaneous,Recommendation,Impulsive,High Standard and Consistency
Diezmo,Price,Trend-Follower,Curiosity,Research-Driven,Affordability
Diezmo,Convenience,Practical,Reputation,Impulsive,Sustainability
Gulod,Customer Service,Spontaneous,Reputation,Research-Driven,Sustainability
Gulod,Convenience,Practical,Advertisement,Research-Driven,Sustainability
Gulod,Convenience,Detail-Oriented,Curiosity,Impulsive,High Standard and Consistency
Gulod,Convenience,Detail-Oriented,Reputation,Planned,High Standard and Consistency
Gulod,Variety of Products/Services,Spontaneous,Advertisement,Impulsive,Community Support
Gulod,Variety of Products/Services,Trend-Follower,Advertisement,Planned,High Standard and Consistency
Gulod,Variety of Products/Services,Practical,Reputation,Research-Driven,High Standard and Consistency
Gulod,Convenience,Trend-Follower,Advertisement,Research-Driven,Sustainability
Gulod,Variety of Products/Services,Trend-Follower,Advertisement,Impulsive,High Standard and Consistency
Gulod,Variety of Products/Services,Spontaneous,Reputation,Impulsive,Sustainability
Gulod,Convenience,Spontaneous,Recommendation,Research-Driven,Trustworthiness
Gulod,Price,Spontaneous,Reputation,Impulsive,Community Support
Gulod,Quality,Spontaneous,Promotions,Impulsive,Affordability
Gulod,Convenience,Detail-Oriented,Curiosity,Impulsive,Affordability
Gulod,Variety of Products/Services,Practical,Advertisement,Research-Driven,Affordability
Gulod,Price,Adventurous,Curiosity,Impulsive,Community Support
Gulod,Variety of Products/Services,Spontaneous,Recommendation,Research-Driven,High Standard and Consistency
Gulod,Convenience,Practical,Reputation,Impulsive,High Standard and Consistency
Gulod,Variety of Products/Services,Spontaneous,Promotions,Planned,Affordability
Gulod,Customer Service,Trend-Follower,Recommendation,Planned,Community Support
Mamatid,Convenience,Spontaneous,Advertisement,Planned,Sustainability
Mamatid,Variety of Products/Services,Trend-Follower,Reputation,Impulsive,Community Support
Mamatid,Customer Service,Spontaneous,Curiosity,Planned,Affordability
Mamatid,Convenience,Spontaneous,Reputation,Research-Driven,Sustainability
Mamatid,Variety of Products/Services,Practical,Curiosity,Research-Driven,Sustainability
Mamatid,Customer Service,Trend-Follower,Reputation,Planned,Community Support
Mamatid,Customer Service,Detail-Oriented,Reputation,Impulsive,Affordability
Mamatid,Price,Spontaneous,Curiosity,Planned,High Standard and Consistency
Mamatid,Convenience,Detail-Oriented,Advertisement,Planned,High Standard and Consistency
Mamatid,Variety of Products/Services,Practical,Curiosity,Research-Driven,Affordability
Mamatid,Price,Trend-Follower,Reputation,Impulsive,Affordability
Mamatid,Price,Spontaneous,Promotions,Impulsive,Community Support
Mamatid,Quality,Adventurous,Curiosity,Impulsive,Affordability
Mamatid,Customer Service,Adventurous,Advertisement,Planned,Affordability
Mamatid,Price,Trend-Follower,Reputation,Impulsive,Community Support
Mamatid,Price,Trend-Follower,Recommendation,Research-Driven,Sustainability
Mamatid,Customer Service,Trend-Follower,Promotions,Impulsive,Trustworthiness
Mamatid,Quality,Trend-Follower,Advertisement,Research-Driven,Community Support
Mamatid,Convenience,Detail-Oriented,Recommendation,Impulsive,Sustainability
Mamatid,Quality,Spontaneous,Reputation,Impulsive,Affordability
Marinig,Convenience,Trend-Follower,Reputation,Planned,Community Support
Marinig,Convenience,Detail-Oriented,Curiosity,Planned,Community Support
Marinig,Price,Trend-Follower,Reputation,Planned,Community Support
Marinig,Customer Service,Spontaneous,Reputation,Research-Driven,Community Support
Marinig,Variety of Products/Services,Trend-Follower,Curiosity,Research-Driven,Community Support
Marinig,Variety of Products/Services,Detail-Oriented,Advertisement,Research-Driven,High Standard and Consistency
Marinig,Price,Spontaneous,Advertisement,Planned,Community Support
Marinig,Customer Service,Trend-Follower,Reputation,Impulsive,High Standard and Consistency
Marinig,Customer Service,Practical,Advertisement,Impulsive,Sustainability
Marinig,Customer Service,Trend-Follower,Advertisement,Research-Driven,Affordability
Marinig,Quality,Spontaneous,Advertisement,Impulsive,Affordability
Marinig,Convenience,Practical,Recommendation,Planned,Trustworthiness
Marinig,Price,Adventurous,Curiosity,Impulsive,Sustainability
Marinig,Convenience,Loyal,Curiosity,Impulsive,Trustworthiness
Marinig,Customer Service,Trend-Follower,Curiosity,Research-Driven,Affordability
Marinig,Customer Service,Trend-Follower,Reputation,Planned,Sustainability
Marinig,Price,Adventurous,Recommendation,Planned,Sustainability
Marinig,Quality,Loyal,Curiosity,Impulsive,High Standard and Consistency
Marinig,Customer Service,Loyal,Recommendation,Research-Driven,Community Support
Marinig,Quality,Practical,Promotions,Research-Driven,High Standard and Consistency
Niugan,Customer Service,Practical,Reputation,Impulsive,Community Support
Niugan,Convenience,Trend-Follower,Reputation,Planned,Affordability
Niugan,Variety of Products/Services,Practical,Reputation,Research-Driven,Affordability
Niugan,Price,Trend-Follower,Reputation,Impulsive,Community Support
Niugan,Convenience,Trend-Follower,Reputation,Impulsive,Community Support
Niugan,Variety of Products/Services,Detail-Oriented,Reputation,Impulsive,High Standard and Consistency
Niugan,Variety of Products/Services,Trend-Follower,Reputation,Planned,High Standard and Consistency
Niugan,Variety of Products/Services,Detail-Oriented,Curiosity,Planned,Affordability
Niugan,Price,Spontaneous,Advertisement,Research-Driven,Community Support
Niugan,Customer Service,Detail-Oriented,Advertisement,Impulsive,Community Support
Niugan,Customer Service,Trend-Follower,Recommendation,Planned,Affordability
Niugan,Convenience,Practical,Reputation,Planned,Community Support
Niugan,Convenience,Spontaneous,Reputation,Research-Driven,High Standard and Consistency
Niugan,Quality,Detail-Oriented,Curiosity,Impulsive,Trustworthiness
Niugan,Customer Service,Detail-Oriented,Reputation,Planned,Affordability
Niugan,Price,Adventurous,Promotions,Impulsive,Trustworthiness
Niugan,Variety of Products/Services,Detail-Oriented,Recommendation,Research-Driven,High Standard and Consistency
Niugan,Price,Spontaneous,Promotions,Research-Driven,Community Support
Niugan,Customer Service,Loyal,Curiosity,Research-Driven,Community Support
Niugan,Price,Detail-Oriented,Recommendation,Planned,Affordability
Pittland,Price,Detail-Oriented,Curiosity,Research-Driven,Affordability
Pittland,Customer Service,Trend-Follower,Curiosity,Research-Driven,High Standard and Consistency
Pittland,Convenience,Practical,Reputation,Research-Driven,High Standard and Consistency
Pittland,Convenience,Trend-Follower,Curiosity,Impulsive,Affordability
Pittland,Convenience,Practical,Curiosity,Research-Driven,Affordability
Pittland,Price,Spontaneous,Reputation,Impulsive,High Standard and Consistency
Pittland,Customer Service,Trend-Follower,Advertisement,Research-Driven,High Standard and Consistency
Pittland,Customer Service,Detail-Oriented,Reputation,Research-Driven,Community Support
Pittland,Convenience,Spontaneous,Curiosity,Planned,High Standard and Consistency
Pittland,Customer Service,Practical,Advertisement,Impulsive,Community Support
Pittland,Price,Adventurous,Promotions,Impulsive,Trustworthiness
Pittland,Quality,Detail-Oriented,Promotions,Research-Driven,Community Support
Pittland,Customer Service,Loyal,Promotions,Impulsive,Affordability
Pittland,Convenience,Detail-Oriented,Advertisement,Impulsive,Affordability
Pittland,Quality,Practical,Curiosity,Impulsive,High Standard and Consistency
Pittland,Variety of Products/Services,Practical,Promotions,Research-Driven,High Standard and Consistency
Pittland,Price,Adventurous,Promotions,Planned,Sustainability
Pittland,Convenience,Adventurous,Reputation,Impulsive,Affordability
Pittland,Quality,Adventurous,Promotions,Impulsive,Community Support
Pittland,Customer Service,Loyal,Advertisement,Research-Driven,Affordability
Poblacion Dos,Price,Spontaneous,Curiosity,Research-Driven,High Standard and Consistency
Poblacion Dos,Variety of Products/Services,Practical,Reputation,Research-Driven,Community Support
Poblacion Dos,Price,Detail-Oriented,Advertisement,Impulsive,High Standard and Consistency
Poblacion Dos,Price,Practical,Reputation,Planned,Affordability
Poblacion Dos,Variety of Products/Services,Spontaneous,Advertisement,Research-Driven,Affordability
Poblacion Dos,Convenience,Trend-Follower,Curiosity,Planned,Affordability
Poblacion Dos,Customer Service,Trend-Follower,Advertisement,Planned,Community Support
Poblacion Dos,Convenience,Detail-Oriented,Advertisement,Research-Driven,Sustainability
Poblacion Dos,Convenience,Trend-Follower,Advertisement,Planned,Affordability
Poblacion Dos,Variety of Products/Services,Trend-Follower,Advertisement,Research-Driven,Affordability
Poblacion Dos,Customer Service,Loyal,Advertisement,Research-Driven,Sustainability
Poblacion Dos,Customer Service,Practical,Promotions,Research-Driven,High Standard and Consistency
Poblacion Dos,Convenience,Loyal,Promotions,Research-Driven,Sustainability
Poblacion Dos,Convenience,Detail-Oriented,Advertisement,Research-Driven,Affordability
Poblacion Dos,Customer Service,Practical,Promotions,Planned,High Standard and Consistency
Poblacion Dos,Variety of Products/Services,Practical,Advertisement,Research-Driven,Affordability
Poblacion Dos,Customer Service,Detail-Oriented,Curiosity,Research-Driven,Affordability
Poblacion Dos,Price,Adventurous,Curiosity,Planned,Community Support
Poblacion Dos,Customer Service,Loyal,Curiosity,Research-Driven,Community Support
Poblacion Dos,Price,Adventurous,Promotions,Planned,Trustworthiness
Poblacion Tres,Price,Spontaneous,Reputation,Impulsive,Affordability
Poblacion Tres,Convenience,Trend-Follower,Curiosity,Research-Driven,Affordability
Poblacion Tres,Variety of Products/Services,Practical,Advertisement,Research-Driven,Community Support
Poblacion Tres,Variety of Products/Services,Spontaneous,Advertisement,Impulsive,Community Support
Poblacion Tres,Variety of Products/Services,Trend-Follower,Advertisement,Planned,High Standard and Consistency
Poblacion Tres,Variety of Products/Services,Detail-Oriented,Reputation,Impulsive,Affordability
Poblacion Tres,Price,Trend-Follower,Advertisement,Research-Driven,Sustainability
Poblacion Tres,Price,Practical,Curiosity,Research-Driven,Affordability
Poblacion Tres,Variety of Products/Services,Detail-Oriented,Advertisement,Research-Driven,Community Support
Poblacion Tres,Customer Service,Trend-Follower,Reputation,Planned,Community Support
Poblacion Tres,Convenience,Detail-Oriented,Recommendation,Impulsive,Community Support
Poblacion Tres,Quality,Detail-Oriented,Advertisement,Impulsive,High Standard and Consistency
Poblacion Tres,Convenience,Practical,Advertisement,Impulsive,Community Support
Poblacion Tres,Customer Service,Spontaneous,Reputation,Planned,Affordability
Poblacion Tres,Price,Detail-Oriented,Reputation,Research-Driven,Sustainability
Poblacion Tres,Convenience,Adventurous,Advertisement,Planned,High Standard and Consistency
Poblacion Tres,Price,Adventurous,Curiosity,Impulsive,Affordability
Poblacion Tres,Customer Service,Detail-Oriented,Reputation,Research-Driven,Sustainability
Poblacion Tres,Quality,Spontaneous,Advertisement,Impulsive,Affordability
Poblacion Tres,Quality,Practical,Curiosity,Planned,Affordability
Poblacion Uno,Variety of Products/Services,Trend-Follower,Reputation,Research-Driven,Affordability
Poblacion Uno,Price,Detail-Oriented,Reputation,Planned,Sustainability
Poblacion Uno,Convenience,Trend-Follower,Advertisement,Planned,Sustainability
Poblacion Uno,Customer Service,Practical,Curiosity,Planned,Affordability
Poblacion Uno,Price,Detail-Oriented,Reputation,Planned,Community Support
Poblacion Uno,Customer Service,Trend-Follower,Advertisement,Planned,Community Support
Poblacion Uno,Variety of Products/Services,Spontaneous,Advertisement,Research-Driven,Community Support
Poblacion Uno,Customer Service,Spontaneous,Advertisement,Planned,Affordability
Poblacion Uno,Variety of Products/Services,Practical,Curiosity,Planned,Sustainability
Poblacion Uno,Customer Service,Spontaneous,Advertisement,Research-Driven,Affordability
Poblacion Uno,Price,Loyal,Recommendation,Impulsive,Trustworthiness
Poblacion Uno,Quality,Loyal,Curiosity,Impulsive,Affordability
Poblacion Uno,Quality,Adventurous,Promotions,Research-Driven,High Standard and Consistency
Poblacion Uno,Convenience,Trend-Follower,Recommendation,Research-Driven,Sustainability
Poblacion Uno,Variety of Products/Services,Spontaneous,Promotions,Impulsive,Trustworthiness
Poblacion Uno,Variety of Products/Services,Practical,Curiosity,Research-Driven,Sustainability
Poblacion Uno,Variety of Products/Services,Detail-Oriented,Recommendation,Research-Driven,High Standard and Consistency
Poblacion Uno,Price,Adventurous,Recommendation,Research-Driven,Affordability
Poblacion Uno,Price,Spontaneous,Advertisement,Planned,Trustworthiness
Poblacion Uno,Customer Service,Practical,Advertisement,Impulsive,High Standard and Consistency
Pulo,Convenience,Spontaneous,Advertisement,Planned,Affordability
Pulo,Price,Spontaneous,Curiosity,Planned,Community Support
Pulo,Convenience,Detail-Oriented,Curiosity,Planned,Sustainability
Pulo,Convenience,Detail-Oriented,Curiosity,Impulsive,Affordability
Pulo,Price,Practical,Reputation,Impulsive,Affordability
Pulo,Convenience,Spontaneous,Curiosity,Impulsive,High Standard and Consistency
Pulo,Price,Spontaneous,Reputation,Impulsive,Affordability
Pulo,Convenience,Detail-Oriented,Reputation,Impulsive,Affordability
Pulo,Convenience,Practical,Reputation,Planned,High Standard and Consistency
Pulo,Price,Spontaneous,Reputation,Planned,Sustainability
Pulo,Variety of Products/Services,Practical,Reputation,Research-Driven,Affordability
Pulo,Price,Spontaneous,Advertisement,Impulsive,Community Support
Pulo,Variety of Products/Services,Spontaneous,Curiosity,Impulsive,Affordability
Pulo,Quality,Trend-Follower,Reputation,Impulsive,Affordability
Pulo,Quality,Adventurous,Advertisement,Research-Driven,Trustworthiness
Pulo,Price,Spontaneous,Recommendation,Research-Driven,Sustainability
Pulo,Price,Practical,Curiosity,Impulsive,High Standard and Consistency
Pulo,Quality,Practical,Advertisement,Planned,Sustainability
Pulo,Customer Service,Detail-Oriented,Promotions,Research-Driven,Sustainability
Pulo,Variety of Products/Services,Trend-Follower,Curiosity,Impulsive,High Standard and Consistency
Sala,Customer Service,Trend-Follower,Advertisement,Planned,Sustainability
Sala,Variety of Products/Services,Spontaneous,Reputation,Research-Driven,High Standard and Consistency
Sala,Convenience,Trend-Follower,Advertisement,Research-Driven,Community Support
Sala,Customer Service,Detail-Oriented,Reputation,Research-Driven,Affordability
Sala,Customer Service,Spontaneous,Reputation,Impulsive,Sustainability
Sala,Convenience,Detail-Oriented,Curiosity,Research-Driven,High Standard and Consistency
Sala,Price,Practical,Advertisement,Impulsive,High Standard and Consistency
Sala,Customer Service,Practical,Curiosity,Impulsive,Affordability
Sala,Variety of Products/Services,Trend-Follower,Advertisement,Planned,Sustainability
Sala,Convenience,Spontaneous,Reputation,Impulsive,Affordability
Sala,Customer Service,Practical,Curiosity,Planned,High Standard and Consistency
Sala,Variety of Products/Services,Spontaneous,Reputation,Research-Driven,Trustworthiness
Sala,Price,Loyal,Advertisement,Research-Driven,Community Support
Sala,Customer Service,Spontaneous,Reputation,Research-Driven,Sustainability
Sala,Convenience,Practical,Promotions,Research-Driven,Affordability
Sala,Quality,Trend-Follower,Curiosity,Impulsive,Affordability
Sala,Convenience,Practical,Promotions,Research-Driven,Affordability
Sala,Convenience,Spontaneous,Advertisement,Research-Driven,Trustworthiness
Sala,Convenience,Spontaneous,Curiosity,Planned,Trustworthiness
Sala,Price,Loyal,Recommendation,Research-Driven,High Standard and Consistency
San Isidro,Price,Spontaneous,Reputation,Impulsive,Sustainability
San Isidro,Customer Service,Trend-Follower,Advertisement,Research-Driven,Community Support
San Isidro,Price,Practical,Reputation,Research-Driven,Community Support
San Isidro,Variety of Products/Services,Detail-Oriented,Reputation,Impulsive,Sustainability
San Isidro,Convenience,Spontaneous,Reputation,Planned,High Standard and Consistency
San Isidro,Customer Service,Detail-Oriented,Reputation,Impulsive,Affordability
San Isidro,Convenience,Practical,Reputation,Impulsive,Affordability
San Isidro,Convenience,Trend-Follower,Curiosity,Planned,Affordability
San Isidro,Convenience,Detail-Oriented,Advertisement,Impulsive,Sustainability
San Isidro,Convenience,Practical,Curiosity,Impulsive,High Standard and Consistency
San Isidro,Variety of Products/Services,Spontaneous,Reputation,Impulsive,Trustworthiness
San Isidro,Variety of Products/Services,Trend-Follower,Advertisement,Impulsive,Affordability
San Isidro,Convenience,Loyal,Recommendation,Impulsive,High Standard and Consistency
San Isidro,Customer Service,Loyal,Curiosity,Planned,Community Support
San Isidro,Quality,Adventurous,Reputation,Planned,Affordability
San Isidro,Price,Spontaneous,Reputation,Impulsive,Affordability
San Isidro,Price,Detail-Oriented,Curiosity,Planned,Affordability
San Isidro,Price,Adventurous,Curiosity,Planned,Affordability
San Isidro,Customer Service,Spontaneous,Advertisement,Impulsive,Affordability
San Isidro,Convenience,Loyal,Advertisement,Planned,High Standard and Consistency
